YEAR,MO,DY,PRECTOT,Inflow_Liters,Usage_Liters,Net_Storage,Tank_Level
2000,10,5,10.3,1050.6,500,550.5999999999999,5000.0
2000,10,6,42.33,4317.66,500,3817.66,5000.0
2000,10,7,12.84,1309.6799999999998,500,809.6799999999998,5000.0
2000,10,8,11.2,1142.3999999999999,500,642.3999999999999,5000.0
2000,10,9,6.59,672.18,500,172.17999999999995,5000.0
2000,10,10,5.24,534.48,500,34.48000000000002,5000.0
2000,10,11,8.34,850.68,500,350.67999999999995,5000.0
2000,10,12,11.23,1145.46,500,645.46,5000.0
2000,10,13,2.77,282.53999999999996,500,-217.46000000000004,4782.54
2000,10,14,0.09,9.18,500,-490.82,4291.72
2000,10,15,0.05,5.1,500,-494.9,3796.82
2000,10,16,1.66,169.32,500,-330.68,3466.1400000000003
2000,10,17,0.1,10.2,500,-489.8,2976.34
2000,10,18,5.5,561.0,500,61.0,3037.34
2000,10,19,14.28,1456.56,500,956.56,3993.9
2000,10,20,35.94,3665.879999999999,500,3165.879999999999,5000.0
2000,10,21,15.35,1565.7,500,1065.7,5000.0
2000,10,22,11.89,1212.7800000000002,500,712.7800000000002,5000.0
2000,10,23,2.61,266.21999999999997,500,-233.78000000000003,4766.22
2000,10,24,0.04,4.08,500,-495.92,4270.3
2000,10,25,0.0,0.0,500,-500.0,3770.3
2000,10,26,0.0,0.0,500,-500.0,3270.3
2000,10,27,0.0,0.0,500,-500.0,2770.3
2000,10,28,0.0,0.0,500,-500.0,2270.3
2000,10,29,0.0,0.0,500,-500.0,1770.3000000000002
2000,10,30,0.0,0.0,500,-500.0,1270.3000000000002
2000,10,31,0.19,19.38,500,-480.62,789.6800000000002
2000,11,1,0.32,32.64,500,-467.36,322.32000000000016
2000,11,2,4.38,446.76,500,-53.24000000000001,269.08000000000015
2000,11,3,3.67,374.34,500,-125.66000000000003,143.42000000000013
2000,11,4,2.25,229.5,500,-270.5,0.0
2000,11,5,0.11,11.219999999999999,500,-488.78,0.0
2000,11,6,0.04,4.08,500,-495.92,0.0
2000,11,7,0.2,20.4,500,-479.6,0.0
2000,11,8,1.07,109.14,500,-390.86,0.0
2000,11,9,2.95,300.9,500,-199.10000000000002,0.0
2000,11,10,6.11,623.22,500,123.22000000000003,123.22000000000003
2000,11,11,6.53,666.06,500,166.05999999999995,289.28
2000,11,12,6.07,619.1400000000001,500,119.1400000000001,408.4200000000001
2000,11,13,1.31,133.62,500,-366.38,42.04000000000008
2000,11,14,1.19,121.37999999999998,500,-378.62,0.0
2000,11,15,0.48,48.959999999999994,500,-451.04,0.0
2000,11,16,0.91,92.82,500,-407.18,0.0
2000,11,17,0.98,99.96,500,-400.04,0.0
2000,11,18,20.31,2071.62,500,1571.62,1571.62
2000,11,19,7.65,780.3,500,280.29999999999995,1851.9199999999998
2000,11,20,2.66,271.32000000000005,500,-228.67999999999995,1623.2399999999998
2000,11,21,8.7,887.4,500,387.4,2010.6399999999999
2000,11,22,10.41,1061.82,500,561.8199999999999,2572.46
2000,11,23,7.31,745.6199999999999,500,245.6199999999999,2818.08
2000,11,24,0.34,34.68,500,-465.32,2352.7599999999998
2000,11,25,0.0,0.0,500,-500.0,1852.7599999999998
2000,11,26,0.0,0.0,500,-500.0,1352.7599999999998
2000,11,27,0.31,31.62,500,-468.38,884.3799999999998
2000,11,28,10.42,1062.8400000000001,500,562.8400000000001,1447.2199999999998
2000,11,29,37.99,3874.98,500,3374.98,4822.2
2000,11,30,16.45,1677.8999999999999,500,1177.8999999999999,5000.0
2000,12,1,2.74,279.48,500,-220.51999999999998,4779.48
2000,12,2,5.27,537.54,500,37.539999999999964,4817.0199999999995
2000,12,3,17.23,1757.4599999999998,500,1257.4599999999998,5000.0
2000,12,4,12.25,1249.5,500,749.5,5000.0
2000,12,5,0.25,25.5,500,-474.5,4525.5
2000,12,6,0.06,6.119999999999999,500,-493.88,4031.62
2000,12,7,0.0,0.0,500,-500.0,3531.62
2000,12,8,0.0,0.0,500,-500.0,3031.62
2000,12,9,0.01,1.02,500,-498.98,2532.64
2000,12,10,0.01,1.02,500,-498.98,2033.6599999999999
2000,12,11,0.0,0.0,500,-500.0,1533.6599999999999
2000,12,12,0.0,0.0,500,-500.0,1033.6599999999999
2000,12,13,0.0,0.0,500,-500.0,533.6599999999999
2000,12,14,0.0,0.0,500,-500.0,33.659999999999854
2000,12,15,0.0,0.0,500,-500.0,0.0
2000,12,16,0.0,0.0,500,-500.0,0.0
2000,12,17,0.0,0.0,500,-500.0,0.0
2000,12,18,0.0,0.0,500,-500.0,0.0
